Date Submitted,Last Name,First Name,Email,Delivery Time,Phone Number,Meal Plan,5: WKLY SPCL 1,5: WKLY SPCL 2,5: WKLY SPCL 3,5: SEAS FAVE 1,5: SEAS FAVE 2,5: SEAS FAVE 3,5: THE ORIGINAL,5: ALMOND BUTTER,5: THE ENERGIZER,5: SEASONAL SMOOTHIE,10: WKLY SPCL 1,10: WKLY SPCL 2,10: WKLY SPCL 3,10: SEAS FAVE 1,10: SEAS FAVE 2,10: SEAS FAVE 3,10: THE ORIGINAL,10: ALMOND BUTTER,10: THE ENERGIZER,10: SEASONAL SMOOTHIE,15: WKLY SPCL 1,15: WKLY SPCL 2,15: WKLY SPCL 3,15: SEAS FAVE 1,15: SEAS FAVE 2,15: SEAS FAVE 3,15: THE ORIGINAL,15: ALMOND BUTTER,15: THE ENERGIZER,15: SEASONAL SMOOTHIE,20: WKLY SPCL 1,20: WKLY SPCL 2,20: WKLY SPCL 3,20: SEAS FAVE 1,20: SEAS FAVE 2,20: SEAS FAVE 3,20: THE ORIGINAL,20: ALMOND BUTTER,20: THE ENERGIZER,20:SEASONAL SMOOTHIE,12/22/2019,12/29/2019,1/5/2020,1/12/2020,1/19/2020,1/26/2020,Pick Meals
"Dec 9, 2019 17:23:21",Barbara,Bach,iamstarr@gmail.com,SUNDAY 4 PM to 8 PM,(949) 4631736,10 MEALS,,,,,,,,,,,1,1,2,2,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YES, I want to select meals for this week"
"Dec 9, 2019 17:40:18",Peter,Townshend,peter.towshend@gmail.com,SUNDAY 4 PM to 8 PM,(512) 4234050,15 MEALS,,,,,,,,,,,,,,,,,,,,,4,,4,4,2,1,,,,,,,,,,,,,,,,,,,,,"YES, I want to select meals for this week"
"Dec 9, 2019 17:51:23",Jane,Asher,paulmac@gmail.com,SUNDAY 4 PM to 8 PM,(512) 7755925,5 MEALS,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YES, I want to select meals for this week"
"Dec 9, 2019 17:53:27",George,Harrison,georgeh@gmail.com,MONDAY 9 AM to NOON (Monday only available for these zip codes ---> 78701 78702 78703 78704 78705 78721 78722 78723 78737 78741 78744 78745 78746 78748 78751 78752 78757 78758),(361) 9450789,5 MEALS,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YES, I want to select meals for this week"
"Dec 9, 2019 17:56:17",Richard,Starkey,richard726@gmail.com,MONDAY 9 AM to NOON (Monday only available for these zip codes ---> 78701 78702 78703 78704 78705 78721 78722 78723 78737 78741 78744 78745 78746 78748 78751 78752 78757 78758),(504) 4950029,5 MEALS,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YES, I want to select meals for this week"
"Dec 9, 2019 17:59:34",Keith,Richards,guitarsrock@gmail.com,SUNDAY 4 PM to 8 PM,(512) 4869946,5 MEALS,1,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YES, I want to select meals for this week"
"Dec 9, 2019 18:02:09",Mick,Jagger,biglips@yahoo.com,SUNDAY 4 PM to 8 PM,(512) 4170341,5 MEALS,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YES, I want to select meals for this week"
"Dec 9, 2019 18:02:29",Davy,Jones,davy.jones@gmail.com,MONDAY 9 AM to NOON (Monday only available for these zip codes ---> 78701 78702 78703 78704 78705 78721 78722 78723 78737 78741 78744 78745 78746 78748 78751 78752 78757 78758),(210) 3944508,5 MEALS,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YES, I want to select meals for this week"
"Dec 9, 2019 18:04:20",Keith,Moon,ketihmoon1@gmail.com,SUNDAY 4 PM to 8 PM,(202) 3021217,10 MEALS,,,,,,,,,,,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YES, I want to select meals for this week"
"Dec 9, 2019 18:11:28",Michael,Nesmith,michaeln@gmail.com,SUNDAY 4 PM to 8 PM,(512) 5655937,5 MEALS,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YES, I want to select meals for this week"
"Dec 9, 2019 18:27:55",Mickey,Dolenz,mdolenz3@gmail.com,SUNDAY 4 PM to 8 PM,(512) 8976390,5 MEALS,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YES, I want to select meals for this week"
"Dec 9, 2019 18:37:59",Roger,Daltrey,roger.daltrey@gmail.com,SUNDAY 4 PM to 8 PM,(415) 6949887,5 MEALS,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YES, I want to select meals for this week"
"Dec 9, 2019 18:55:20",Kenney,Jones,kenney77@gmail.com,SUNDAY 4 PM to 8 PM,(832) 4656603,5 MEALS,2,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YES, I want to select meals for this week"
"Dec 9, 2019 19:00:53",Peter,Tork,pt@tork.com,MONDAY 9 AM to NOON (Monday only available for these zip codes ---> 78701 78702 78703 78704 78705 78721 78722 78723 78737 78741 78744 78745 78746 78748 78751 78752 78757 78758),(512) 6574408,5 MEALS,2,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YES, I want to select meals for this week"
"Dec 9, 2019 19:20:36",John,Entwistle,j_entwistle@gmail.com,SUNDAY 4 PM to 8 PM,(703) 5779896,10 MEALS,,,,,,,,,,,2,2,3,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"YES, I want to select meals for this week"
"Dec 9, 2019 22:27:54",John,Lennon,jlennon09@gmail.com,SUNDAY 4 PM to 8 PM,(832) 7123569,20 MEALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,6,2,,,,,,,,,,,,"YES, I want to select meals for this week"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
